StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,0.07,103.60,541.26,0.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-05-08
CA,23.12,"36,561.86","2,296,204.88",6.16,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-05-15
CA,13.79,"21,813.89","459,640.83",1.23,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-05-15
CA,3.39,"5,357.64","48,605.84",0.13,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-05-15
CA,0.05,82.84,557.03,0.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-05-15
CA,23.12,"36,561.84","2,296,203.33",6.16,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-05-22
CA,13.79,"21,813.90","459,642.37",1.23,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-05-22
CA,3.39,"5,357.64","48,605.84",0.13,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-05-22
CA,0.05,82.84,557.03,0.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-05-22
CA,23.12,"36,561.79","2,296,204.29",6.16,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-05-29
CA,11.13,"17,607.98","439,734.54",1.18,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-05-29
CA,6.06,"9,586.10","68,663.61",0.18,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-05-29
CA,0.04,60.34,406.13,0.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-05-29
CA,27.76,"43,905.64","6,101,905.94",16.38,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-06-05
CA,14.15,"22,378.07","651,143.10",1.75,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-06-05
CA,8.19,"12,945.76","91,504.91",0.25,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-06-05
CA,0.05,82.84,557.03,0.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-06-05
CA,25.81,"40,818.29","5,947,224.58",15.96,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-06-12
CA,15.41,"24,373.75","741,665.63",1.99,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-06-12
CA,8.88,"14,038.15","155,712.30",0.42,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-06-12
CA,0.05,82.84,557.03,0.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-06-12
CA,27.55,"43,572.68","9,516,642.12",25.55,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-06-19
CA,10.10,"15,966.09","541,919.10",1.45,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-06-19
CA,15.67,"24,777.04","458,029.89",1.23,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-06-19
CA,0.20,316.94,"1,986.96",0.01,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-06-19
CA,26.29,"41,580.27","9,252,808.10",24.84,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-06-26
CA,10.31,"16,306.52","725,828.53",1.95,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-06-26
CA,16.35,"25,857.12","519,126.55",1.39,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-06-26
CA,0.93,"1,473.07","21,879.69",0.06,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-06-26
CA,30.38,"48,050.27","8,525,854.53",22.89,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-07-03
CA,9.11,"14,413.80","686,736.71",1.84,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-07-03
CA,13.76,"21,754.92","462,661.27",1.24,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-07-03
CA,4.72,"7,467.99","117,436.80",0.32,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-07-03
CA,17.23,"27,249.79","6,908,144.50",18.54,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-07-10
CA,9.66,"15,271.48","714,734.36",1.92,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-07-10
CA,7.35,"11,621.09","317,776.22",0.85,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-07-10
CA,9.69,"15,322.64","208,064.43",0.56,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-07-10
CA,16.86,"26,671.46","8,143,538.10",21.86,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-07-17
CA,7.41,"11,714.10","582,944.25",1.56,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-07-17
CA,10.10,"15,968.50","505,760.25",1.36,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-07-17
CA,9.69,"15,322.64","208,064.43",0.56,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-07-17
CA,17.99,"28,450.15","8,343,084.94",22.40,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-07-24
CA,7.41,"11,714.10","582,944.25",1.56,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-07-24
CA,10.10,"15,968.50","505,760.25",1.36,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-07-24
CA,9.69,"15,322.64","208,064.43",0.56,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-07-24
CA,17.99,"28,450.15","8,343,084.69",22.40,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-07-31
CA,7.41,"11,714.07","582,943.16",1.56,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-07-31
