,Map Date,Drought Level,Population Current,Population Current %,Area Current,Area Current %,Area Miles
112,2001-07-10,D0  ,"6,908,144.50",18.54,"27,249.79",17.23,"158,147.87"
113,2001-07-10,D1  ,"714,734.36",1.92,"15,271.48",9.66,"158,147.87"
114,2001-07-10,D2  ,"317,776.22",0.85,"11,621.09",7.35,"158,147.87"
115,2001-07-10,D3  ,"208,064.43",0.56,"15,322.64",9.69,"158,147.87"
116,2001-07-17,D0  ,"8,143,538.10",21.86,"26,671.46",16.86,"158,147.87"
117,2001-07-17,D1  ,"582,944.25",1.56,"11,714.10",7.41,"158,147.87"
118,2001-07-17,D2  ,"505,760.25",1.36,"15,968.50",10.1,"158,147.87"
119,2001-07-17,D3  ,"208,064.43",0.56,"15,322.64",9.69,"158,147.87"
120,2001-07-24,D0  ,"8,343,084.94",22.4,"28,450.15",17.99,"158,147.87"
121,2001-07-24,D1  ,"582,944.25",1.56,"11,714.10",7.41,"158,147.87"
122,2001-07-24,D2  ,"505,760.25",1.36,"15,968.50",10.1,"158,147.87"
123,2001-07-24,D3  ,"208,064.43",0.56,"15,322.64",9.69,"158,147.87"
124,2001-07-31,D0  ,"8,343,084.69",22.4,"28,450.15",17.99,"158,147.87"
125,2001-07-31,D1  ,"582,943.16",1.56,"11,714.07",7.41,"158,147.87"
126,2001-07-31,D2  ,"505,761.58",1.36,"15,968.54",10.1,"158,147.87"
127,2001-07-31,D3  ,"208,064.43",0.56,"15,322.64",9.69,"158,147.87"
128,2001-08-07,D0  ,"8,343,084.69",22.4,"28,450.15",17.99,"158,147.87"
129,2001-08-07,D1  ,"582,943.16",1.56,"11,714.07",7.41,"158,147.87"
130,2001-08-07,D2  ,"505,761.72",1.36,"15,968.51",10.1,"158,147.87"
131,2001-08-07,D3  ,"208,064.29",0.56,"15,322.67",9.69,"158,147.87"
132,2001-08-14,D0  ,"8,343,084.69",22.4,"28,450.15",17.99,"158,147.87"
133,2001-08-14,D1  ,"582,950.10",1.56,"11,714.16",7.41,"158,147.87"
134,2001-08-14,D2  ,"493,108.25",1.32,"14,982.20",9.47,"158,147.87"
135,2001-08-14,D3  ,"220,710.82",0.59,"16,308.89",10.31,"158,147.87"
136,2001-08-21,D0  ,"7,458,585.46",20.02,"23,474.00",14.84,"158,147.87"
137,2001-08-21,D1  ,"635,363.96",1.71,"11,019.60",6.97,"158,147.87"
138,2001-08-21,D2  ,"640,879.90",1.72,"14,118.44",8.93,"158,147.87"
139,2001-08-21,D3  ,"558,384.63",1.5,"25,712.70",16.26,"158,147.87"
140,2001-08-28,D0  ,"7,810,236.33",20.96,"21,908.38",13.85,"158,147.87"
141,2001-08-28,D1  ,"1,188,417.52",3.19,"12,042.64",7.61,"158,147.87"
142,2001-08-28,D2  ,"687,142.81",1.84,"15,270.54",9.66,"158,147.87"
143,2001-08-28,D3  ,"787,276.62",2.11,"29,413.31",18.6,"158,147.87"
144,2001-09-04,D0  ,"7,810,238.43",20.96,"21,908.39",13.85,"158,147.87"
