Acres Burned,Latitude,Longitude,Incident Start
35.0,37.034183,-121.45597,2019-08-25T13:06:49Z
25.0,32.557546,-116.873955,2019-08-25T16:15:15Z
12.0,33.463991,-116.914799,2019-08-27T11:33:56Z
3380.0,40.593,-120.581,2019-08-28T19:48:14Z
19.0,37.718636,-121.657011,2019-08-31T12:55:15Z
756.0,36.40193,-119.030621,2019-08-31T15:31:59Z
66.0,35.906482,-120.992914,2019-09-01T16:35:55Z
279.0,34.71011,-119.3547,2019-09-01T17:37:43Z
11.0,37.545167,-121.596667,2019-09-02T14:36:35Z
167.0,36.600167,-120.8405,2019-09-02T15:40:37Z
15.0,34.353667,-117.343833,2019-09-02T20:27:29Z
85.0,38.898915,-120.946657,2019-09-03T14:57:31Z
10.0,37.178353,-122.07743,2019-09-03T15:36:45Z
54612.0,40.061389,-120.680556,2019-09-04T15:17:31Z
1926.0,33.528469,-117.273157,2019-09-04T16:43:36Z
28.0,38.910498,-122.642572,2019-09-04T16:26:00Z
17.0,36.732866,-121.39478,2019-09-04T20:33:59Z
8836.0,40.12,-122.64,2019-09-05T13:19:56Z
44.0,38.017138,-120.945044,2019-09-05T14:33:01Z
244.0,40.062304,-123.222196,2019-09-05T09:25:00Z
5332.0,40.109,-122.789,2019-09-05T19:59:46Z
4840.0,37.826,-118.872,2019-09-06T11:24:11Z
5737.0,41.748,-121.056,2019-09-06T11:34:27Z
1975.0,36.284,-118.228,2019-09-06T12:23:00Z
381.0,36.151,-118.185,2019-09-06T12:39:18Z
10296.0,37.034,-118.345,2019-09-06T12:43:35Z
58.0,39.470333,-121.412333,2019-09-06T15:18:52Z
1872.0,41.862237,-122.662258,2019-09-07T08:36:32Z
227.0,41.4929742,-123.2129356,2019-09-07T08:47:46Z
280.0,41.150392,-122.634108,2019-09-07T08:49:58Z
53.0,38.955024,-122.833831,2019-09-07T14:00:00Z
496.0,39.45296,-121.412619,2019-09-07T15:06:00Z
15.0,41.512917,-122.740333,2019-09-07T18:19:16Z
250.0,33.9369,-117.3063,2019-09-07T20:31:46Z
200.0,34.630919,-120.187368,2019-09-09T17:42:43Z
10.0,33.496633,-116.631106,2019-09-10T10:43:58Z
190.0,37.32585,-121.110146,2019-09-11T11:25:43Z
34.0,33.854597,-117.270144,2019-09-12T20:30:41Z
11.0,37.492002,-120.401028,2019-09-13T20:00:29Z
503.0,33.4853,-117.043723,2019-09-14T17:53:00Z
91.0,41.749667,-123.000833,2019-09-15T15:52:00Z
167.0,33.635,-116.801111,2019-09-15T20:13:05Z
640.0,38.751648,-121.432636,2019-09-20T15:02:08Z
128.0,37.467744,-121.842751,2019-09-21T11:49:00Z
220.0,35.214364,-120.455883,2019-09-21T14:26:00Z
98.0,33.900994,-117.170588,2019-09-21T17:22:00Z
67.0,38.20177,-120.827386,2019-09-22T18:25:56Z
83.0,37.838333,-120.625556,2019-09-23T15:55:57Z
16.0,40.612556,-122.039167,2019-09-24T08:40:45Z
200.0,32.787656,-116.806941,2019-09-24T15:00:00Z
10.0,38.332083,-120.67131,2019-09-25T13:13:41Z
52.0,32.87833333,-116.88,2019-09-25T14:17:25Z
30.0,38.07944444,-122.25611111,2019-09-26T15:29:06Z
300.0,39.622137,-121.693472,2019-09-28T17:48:10Z
22.0,38.538467,-120.965105,2019-09-29T21:44:45Z
19.0,33.703546,-117.033598,2019-09-30T07:07:00Z
25.0,36.154184,-120.634179,2019-09-30T17:39:00Z
52.0,35.189783,-120.1755,2019-10-01T22:35:52Z
18.0,37.429506,-121.336465,2019-10-03T13:36:04Z
63.0,41.70611111,-123.4375,2019-10-04T12:03:48Z
10.0,39.613783,-123.458782,2019-10-04T18:38:09Z
5563.0,37.604638,-119.96606,2019-10-06T16:15:12Z
526.0,38.165873,-122.211671,2019-10-06T16:36:50Z
29.0,37.066483,-121.219163,2019-10-07T09:58:51Z
11.0,40.314187,-122.070055,2019-10-07T11:03:29Z
12.0,37.606,-121.853,2019-10-08T17:25:12Z
289.0,35.79069,-120.73102,2019-10-09T06:52:14Z
68.0,39.847708,-122.1604,2019-10-09T08:31:40Z
10.0,39.847708,-122.160416,2019-10-09T09:52:52Z
40.0,37.828267,-122.103867,2019-10-10T06:42:19Z
9.0,33.827979,-117.499619,2019-10-10T12:08:00Z
350.0,33.975405,-117.207068,2019-10-10T14:18:17Z
1011.0,33.9925,-117.059167,2019-10-10T15:38:44Z
42.0,40.4988,-122.19911,2019-10-10T15:49:07Z
75.0,33.8615,-116.897333,2019-10-10T18:36:46Z
91.0,34.156389,-118.950833,2019-10-10T21:28:58Z
8799.0,34.32988,-118.48161,2019-10-10T21:02:00Z
30.0,35.709176,-120.312856,2019-10-11T12:30:19Z
3435.0,38.724,-120.145,2019-10-11T12:47:59Z
200.0,34.23955,-119.20187,2019-10-11T15:57:10Z
55.0,40.387772,-120.304341,2019-10-13T14:45:37Z
75.0,33.45148,-116.05898,2019-10-14T15:32:20Z
15.0,38.045866,-122.245186,2019-10-15T16:17:18Z
10.0,32.762706,-117.097441,2019-10-15T17:41:57Z
420.0,34.484722,-120.190833,2019-10-17T16:31:00Z
25.0,38.88913,-122.604425,2019-10-17T20:06:00Z
137.0,36.319291,-120.460189,2019-10-18T12:17:32Z
11.0,34.033117,-117.21545,2019-10-21T08:16:33Z
42.0,34.055768,-118.554091,2019-10-21T11:52:52Z
77758.0,38.792458,-122.780053,2019-10-23T21:27:00Z
145.0,34.183624,-117.274276,2019-10-24T04:53:17Z
67.0,37.896231,-122.636471,2019-10-24T12:15:33Z
80.0,39.551423,-121.800538,2019-10-24T14:43:10Z
4615.0,34.472778,-118.368056,2019-10-24T14:51:46Z
62.0,37.166674,-122.361112,2019-10-24T20:15:36Z
35.0,37.62782,-121.68598,2019-10-24T23:16:18Z
97.0,33.055124,-116.742508,2019-10-25T10:52:04Z
37.0,33.259861,-117.027333,2019-10-25T15:05:52Z
